id,region,number,displayName,nameZh,nameEn,lat,lng,area,category,priority,routeIds,bestTime,budgetLevel,shortDescription,googleMapsQuery,coordinatesConfidence
bkk-food-01,bangkok,1,Rongros 河景泰餐 Rongros,Rongros 河景泰餐,Rongros,13.7469,100.4917,老城 / Wat Arun view,河景晚餐 / 泰餐,core,bkk-route-a,日落 / 晚餐,中高,适合寺庙日收尾，主打 Wat Arun 河景和情侣晚餐氛围。,Rongros Bangkok Wat Arun view restaurant,area
bkk-food-02,bangkok,2,The Deck 河景餐厅 The Deck by Arun Residence,The Deck 河景餐厅,The Deck by Arun Residence,13.7444,100.4912,老城 / Wat Arun view,河景晚餐 / 泰餐,optional,bkk-route-a,日落 / 晚餐,中高,经典郑王庙对岸视角餐厅，可作为 Rongros 替代。,The Deck by Arun Residence Bangkok,area
bkk-food-03,bangkok,3,Thong Smith 船面 Thong Smith,Thong Smith 船面,Thong Smith,13.7465,100.5392,Siam / CentralWorld / ICONSIAM 多分店,泰式船面 / 商场餐厅,core,bkk-route-b;bkk-route-c,午餐 / 晚餐 / 雨天,中,小红书高频推荐，适合商场日就近吃。,Thong Smith CentralWorld Bangkok,area
bkk-food-04,bangkok,4,Karun 泰奶 Karun Thai Tea,Karun 泰奶,Karun Thai Tea,13.7465,100.5392,Siam / CentralWorld / ICONSIAM 多分店,泰奶 / 甜品,core,bkk-route-b;bkk-route-c,商场逛街时,低中,适合和 Thong Smith、CentralWorld、ICONSIAM 同步安排。,Karun Thai Tea CentralWorld Bangkok,area
bkk-food-05,bangkok,5,Factory Coffee Factory Coffee Bangkok,Factory Coffee,Factory Coffee Bangkok,13.7564,100.5328,Phaya Thai / Ratchathewi,咖啡,optional,bkk-route-b,早午 / 咖啡休息,中,网红咖啡点，适合在 Siam / Phaya Thai 附近顺路。,Factory Coffee Bangkok,area
bkk-food-06,bangkok,6,Mae Varee 芒果糯米饭 Mae Varee Mango Sticky Rice,Mae Varee 芒果糯米饭,Mae Varee Mango Sticky Rice,13.7246,100.5784,Thonglor,芒果糯米饭 / 甜品,optional,bkk-route-e,下午 / 晚上,低中,经典芒果糯米饭，适合去 Thonglor / Sukhumvit 时顺路。,Mae Varee Mango Sticky Rice Bangkok,area
bkk-food-07,bangkok,7,Phed Mark 打抛饭 Phed Mark,Phed Mark 打抛饭,Phed Mark,13.7193,100.5855,Ekkamai,打抛饭 / 快餐,optional,bkk-route-e,午餐,低中,适合喜欢重口和辣味时去。,Phed Mark Bangkok,area
bkk-food-08,bangkok,8,Jeh O Chula 妈妈面 Jeh O Chula,Jeh O Chula 妈妈面,Jeh O Chula,13.74,100.5237,Banthat Thong / Chula,夜宵 / Mama 面,core,bkk-route-b,晚餐 / 夜宵,低中,朱拉美食区高频网红店，适合作为 Siam + Chula 晚餐候选。,Jeh O Chula Bangkok,area
bkk-food-09,bangkok,9,Go-Ang 水门鸡饭 Go-Ang Pratunam Chicken Rice,Go-Ang 水门鸡饭,Go-Ang Pratunam Chicken Rice,13.7501,100.5405,Pratunam / CentralWorld,海南鸡饭 / 快餐,optional,bkk-route-b,午餐 / 晚餐,低中,CentralWorld / Big C 附近可顺路尝试的经典鸡饭。,Go-Ang Pratunam Chicken Rice Bangkok,area
bkk-food-10,bangkok,10,PangCha 泰茶甜品 PangCha,PangCha 泰茶甜品,PangCha,13.7468,100.5347,Siam / CentralWorld 多分店,甜品 / 泰茶,optional,bkk-route-b,商场休息,中,甜品/泰茶候选，适合商场日休息。,PangCha Siam Paragon Bangkok,area
