Region,Name,Latitude,Longitude,Category,Priority,Route,Description
曼谷 Bangkok,大皇宫 / 玉佛寺 Grand Palace & Wat Phra Kaew,13.75,100.4913,寺庙/地标,核心,Route A,第一次来曼谷的地标；早上去，注意寺庙着装，别把它排成全天核心。
曼谷 Bangkok,卧佛寺 Wat Pho,13.7466,100.493,寺庙/地标,核心,Route A,和大皇宫、郑王庙同线；适合上午/中午衔接，注意穿着。
曼谷 Bangkok,郑王庙 Wat Arun,13.7437,100.4889,寺庙/日落,核心,Route A,曼谷最适合情侣拍照和看日落的核心点；可入内或在对岸看夜景。
曼谷 Bangkok,ICONSIAM / SookSiam,13.7266,100.5101,商场/河景,核心,Route A/C,雨天避暑、河景、SookSiam 美食区和购物；适合作为河边路线收尾。
曼谷 Bangkok,Song Wat Road,13.7415,100.5072,街区/咖啡,核心,Route C,咖啡、老街区、拍照；适合接唐人街和 ICONSIAM。
曼谷 Bangkok,唐人街 Yaowarat Chinatown,13.7394,100.51,美食/夜市,核心,Route C,晚上气氛最好；人多、热，准备现金，不要排太多网红店。
曼谷 Bangkok,Talat Noi,13.7346,100.5128,街区/摄影,选配,Route C,靠近 Song Wat/唐人街，适合壁画、咖啡和街拍。
曼谷 Bangkok,Ratchawong Pier,13.7389,100.5054,码头/交通,交通,Route C,唐人街附近码头，可用于坐船去 ICONSIAM/河边区域；出发前确认船线。
曼谷 Bangkok,Siam Square / MBK,13.7461,100.5349,商圈/购物,核心,Route B,购物、街拍、MBK 天桥；雨天和到达日最稳。
曼谷 Bangkok,CentralWorld / Big C Ratchadamri,13.7465,100.5392,商圈/购物,核心,Route B,泰奶、连锁餐厅、Big C 零食补给；适合和 Siam 同天。
曼谷 Bangkok,Banthat Thong / Chula night food area,13.7405,100.5253,美食/夜市,核心,Route B,朱拉隆功/Banthat Thong 一带小吃多，适合作为 Siam 路线晚餐。
曼谷 Bangkok,水门寺大佛 Wat Paknam Phasi Charoen,13.7229,100.4627,寺庙/拍照,选配,Route D,半日拍照点；不在主商圈，天气好、有空时再去。
曼谷 Bangkok,Khlong Bang Luang / Artist House,13.7305,100.4603,运河/本地体验,选配,Route D,可与水门寺大佛、长尾船组合；雨天体验下降。
曼谷 Bangkok,Chatuchak Weekend Market,13.7996,100.5501,市场/购物,选配,Route E,只适合周末；很大很热，别安排在疲劳日。
曼谷 Bangkok,King Power Mahanakhon SkyWalk,13.7249,100.5294,高空/夜景,选配,Route E,天气晴时适合日落/夜景；下雨或雾霾时性价比下降。
曼谷 Bangkok,四面佛 Erawan Shrine,13.7443,100.5404,地标/祈福,选配,Route B,CentralWorld/Siam 附近顺路短停，不建议专门绕路。
曼谷 Bangkok,曼谷艺术文化中心 BACC,13.7466,100.53,室内/艺术,选配,Route B/E,雨天备选，靠近 Siam/MBK。
曼谷 Bangkok,金山寺 Wat Saket / Golden Mount,13.7539,100.5066,寺庙/城市景观,选配,Route E,老城备选，天气好时可看城市视角。
曼谷 Bangkok,三象神博物馆 Erawan Museum,13.6288,100.5899,远郊/拍照,远程,Route E,远离市中心，作为远郊拍照点可选；不建议和老城核心同天硬塞。
曼谷 Bangkok,Ayutthaya Historical Park,14.3559,100.5689,远郊/一日游,远程,Route E,如果喜欢历史/摄影可安排一日游；会占用完整一天。
普吉岛 Phuket,普吉镇老街 Phuket Old Town / Thalang Road,7.884,98.389,老街/摄影,核心,Route A,彩色骑楼、咖啡、壁画；适合 2–4 小时慢逛。
普吉岛 Phuket,Lard Yai Sunday Walking Street,7.8845,98.388,夜市,核心,Route A,周日夜市；你们 8/16 正好周日，优先保留。
普吉岛 Phuket,Soi Romanee,7.8847,98.3897,老街/摄影,核心,Route A,普吉老街最适合拍照的小巷之一，可与 Thalang Road 同走。
